team,league_points,wins,losses,map_differential,maps_won,maps_lost,opponent_points,opponent_differential,sim_number,rank
New York Excelsior,7,7,9,-4,28,32,125,-21,2865,6
Guangzhou Charge,4,4,12,-23,16,39,139,65,2865,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2865,8
Shanghai Dragons,21,12,4,22,38,16,124,-22,2866,1
Chengdu Hunters,13,11,5,16,38,22,116,-62,2866,2
Seoul Dynasty,12,12,4,16,38,22,120,-36,2866,3
Philadelphia Fusion,10,10,6,14,37,23,126,-16,2866,4
Hangzhou Spark,8,8,8,6,34,28,128,-16,2866,5
New York Excelsior,7,7,9,-4,28,32,124,-22,2866,6
Guangzhou Charge,4,4,12,-26,15,41,140,74,2866,7
Los Angeles Valiant,0,0,16,-44,4,48,146,100,2866,8
Shanghai Dragons,20,12,4,22,38,16,124,-23,2867,1
Seoul Dynasty,13,12,4,17,38,21,120,-34,2867,2
Chengdu Hunters,12,10,6,11,35,24,118,-57,2867,3
Philadelphia Fusion,10,10,6,11,36,25,126,-8,2867,4
Hangzhou Spark,8,8,8,4,33,29,128,-8,2867,5
New York Excelsior,8,8,8,3,32,29,122,-41,2867,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,2867,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2867,8
Shanghai Dragons,23,12,4,20,38,18,124,-16,2868,1
Seoul Dynasty,12,12,4,18,39,21,121,-34,2868,2
Chengdu Hunters,12,10,6,12,35,23,118,-59,2868,3
Philadelphia Fusion,10,10,6,11,36,25,125,-13,2868,4
Hangzhou Spark,8,8,8,6,34,28,129,-10,2868,5
New York Excelsior,7,7,9,-3,29,32,124,-29,2868,6
Guangzhou Charge,5,5,11,-18,20,38,138,60,2868,7
Los Angeles Valiant,0,0,16,-46,2,48,145,101,2868,8
Shanghai Dragons,20,12,4,21,38,17,124,-22,2869,1
Chengdu Hunters,13,11,5,17,38,21,115,-71,2869,2
Seoul Dynasty,12,12,4,16,38,22,120,-32,2869,3
Philadelphia Fusion,10,9,7,9,35,26,129,-1,2869,4
Hangzhou Spark,8,8,8,4,33,29,128,-8,2869,5
New York Excelsior,8,8,8,0,30,30,121,-37,2869,6
Guangzhou Charge,4,4,12,-21,18,39,140,62,2869,7
Los Angeles Valiant,0,0,16,-46,2,48,147,109,2869,8
Shanghai Dragons,22,12,4,22,38,16,123,-28,2870,1
Chengdu Hunters,13,11,5,17,38,21,116,-67,2870,2
Seoul Dynasty,11,11,5,13,36,23,122,-26,2870,3
Philadelphia Fusion,10,10,6,13,37,24,127,-9,2870,4
Hangzhou Spark,8,8,8,3,32,29,128,-6,2870,5
New York Excelsior,8,8,8,0,31,31,122,-33,2870,6
Guangzhou Charge,4,4,12,-22,17,39,139,60,2870,7
Los Angeles Valiant,0,0,16,-46,2,48,147,109,2870,8
Shanghai Dragons,21,12,4,21,38,17,123,-24,2871,1
Chengdu Hunters,13,11,5,17,38,21,117,-63,2871,2
Philadelphia Fusion,11,11,5,15,38,23,124,-14,2871,3
Seoul Dynasty,11,11,5,14,37,23,122,-33,2871,4
Hangzhou Spark,8,8,8,4,32,28,128,-13,2871,5
New York Excelsior,7,7,9,-1,31,32,125,-27,2871,6
Guangzhou Charge,4,4,12,-26,15,41,139,70,2871,7
Los Angeles Valiant,0,0,16,-44,4,48,146,104,2871,8
Shanghai Dragons,22,12,4,21,38,17,123,-23,2872,1
Chengdu Hunters,13,11,5,17,38,21,117,-63,2872,2
Philadelphia Fusion,11,11,5,17,38,21,124,-21,2872,3
Seoul Dynasty,11,11,5,14,37,23,122,-31,2872,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,2872,5
New York Excelsior,7,7,9,-4,28,32,125,-21,2872,6
Guangzhou Charge,4,4,12,-24,15,39,139,67,2872,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2872,8
Shanghai Dragons,20,12,4,22,38,16,123,-26,2873,1
Seoul Dynasty,14,12,4,16,38,22,121,-30,2873,2
Chengdu Hunters,13,11,5,16,38,22,116,-64,2873,3
Philadelphia Fusion,10,10,6,14,37,23,126,-16,2873,4
Hangzhou Spark,7,7,9,2,33,31,131,-2,2873,5
New York Excelsior,7,7,9,-4,28,32,124,-24,2873,6
Guangzhou Charge,5,5,11,-20,18,38,137,58,2873,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,2873,8
Shanghai Dragons,20,12,4,21,38,17,124,-20,2874,1
Chengdu Hunters,13,10,6,12,37,25,118,-55,2874,2
Seoul Dynasty,12,12,4,17,39,22,120,-36,2874,3
Philadelphia Fusion,10,10,6,14,37,23,126,-17,2874,4
Hangzhou Spark,8,8,8,5,34,29,128,-12,2874,5
New York Excelsior,8,8,8,-1,30,31,122,-29,2874,6
Guangzhou Charge,4,4,12,-23,16,39,140,68,2874,7
Los Angeles Valiant,0,0,16,-45,3,48,146,101,2874,8
Shanghai Dragons,19,11,5,17,36,19,127,-7,2875,1
Chengdu Hunters,15,11,5,16,38,22,116,-64,2875,2
Seoul Dynasty,13,13,3,22,41,19,117,-52,2875,3
Philadelphia Fusion,10,10,6,12,36,24,126,-11,2875,4
Hangzhou Spark,8,8,8,5,33,28,127,-18,2875,5
New York Excelsior,7,7,9,-3,29,32,124,-26,2875,6
Guangzhou Charge,4,4,12,-25,16,41,141,77,2875,7
Los Angeles Valiant,0,0,16,-44,4,48,146,101,2875,8
Shanghai Dragons,22,12,4,22,38,16,124,-23,2876,1
Chengdu Hunters,13,11,5,15,38,23,116,-65,2876,2
Seoul Dynasty,12,12,4,17,38,21,120,-33,2876,3
Philadelphia Fusion,10,10,6,11,36,25,126,-9,2876,4
Hangzhou Spark,8,8,8,4,33,29,128,-7,2876,5
New York Excelsior,7,7,9,-2,30,32,124,-31,2876,6
Guangzhou Charge,4,4,12,-21,18,39,140,63,2876,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2876,8
Shanghai Dragons,23,12,4,22,38,16,124,-23,2877,1
Chengdu Hunters,13,11,5,16,38,22,116,-66,2877,2
Seoul Dynasty,12,12,4,16,38,22,120,-33,2877,3
Philadelphia Fusion,10,10,6,12,37,25,126,-10,2877,4
Hangzhou Spark,8,8,8,5,33,28,128,-11,2877,5
New York Excelsior,7,7,9,-2,30,32,124,-30,2877,6
Guangzhou Charge,4,4,12,-23,16,39,140,67,2877,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2877,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,2878,1
Chengdu Hunters,15,11,5,16,38,22,116,-67,2878,2
Seoul Dynasty,12,12,4,18,39,21,120,-37,2878,3
Philadelphia Fusion,10,10,6,11,36,25,126,-7,2878,4
Hangzhou Spark,8,8,8,3,33,30,128,-7,2878,5
New York Excelsior,7,7,9,-1,31,32,124,-33,2878,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,2878,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,2878,8
Shanghai Dragons,20,12,4,20,38,18,124,-17,2879,1
Chengdu Hunters,14,11,5,19,38,19,116,-72,2879,2
Seoul Dynasty,12,12,4,19,40,21,120,-42,2879,3
Philadelphia Fusion,10,10,6,12,36,24,126,-9,2879,4
Hangzhou Spark,8,8,8,4,32,28,128,-12,2879,5
New York Excelsior,7,7,9,-4,28,32,124,-26,2879,6
Guangzhou Charge,4,4,12,-24,15,39,140,71,2879,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,2879,8
Shanghai Dragons,22,12,4,22,38,16,123,-25,2880,1
Seoul Dynasty,13,12,4,17,38,21,121,-32,2880,2
Chengdu Hunters,13,11,5,15,38,23,116,-63,2880,3
Philadelphia Fusion,10,10,6,12,36,24,126,-12,2880,4
Hangzhou Spark,7,7,9,2,33,31,131,-2,2880,5
New York Excelsior,7,7,9,-3,29,32,124,-27,2880,6
Guangzhou Charge,5,5,11,-20,18,38,137,59,2880,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,2880,8
Shanghai Dragons,21,12,4,21,38,17,123,-22,2881,1
Chengdu Hunters,12,10,6,13,36,23,119,-55,2881,2
Philadelphia Fusion,11,11,5,16,38,22,123,-23,2881,3
Seoul Dynasty,11,11,5,15,38,23,123,-30,2881,4
Hangzhou Spark,8,8,8,5,34,29,129,-10,2881,5
New York Excelsior,7,7,9,-4,28,32,125,-21,2881,6
Guangzhou Charge,5,5,11,-21,18,39,137,62,2881,7
Los Angeles Valiant,0,0,16,-45,3,48,145,99,2881,8
Shanghai Dragons,20,12,4,20,38,18,125,-15,2882,1
Seoul Dynasty,14,12,4,18,40,22,120,-36,2882,2
Chengdu Hunters,12,10,6,11,36,25,118,-56,2882,3
Philadelphia Fusion,10,10,6,12,37,25,125,-15,2882,4
Hangzhou Spark,9,9,7,7,35,28,126,-14,2882,5
New York Excelsior,7,7,9,-2,30,32,124,-30,2882,6
Guangzhou Charge,4,4,12,-20,19,39,141,65,2882,7
Los Angeles Valiant,0,0,16,-46,2,48,145,101,2882,8
Shanghai Dragons,21,12,4,21,38,17,123,-24,2883,1
Chengdu Hunters,13,11,5,17,38,21,117,-65,2883,2
Philadelphia Fusion,11,11,5,15,38,23,124,-15,2883,3
Seoul Dynasty,11,11,5,15,38,23,122,-32,2883,4
Hangzhou Spark,8,8,8,3,32,29,128,-8,2883,5
New York Excelsior,7,7,9,-2,30,32,125,-27,2883,6
Guangzhou Charge,4,4,12,-23,16,39,139,64,2883,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,2883,8
Shanghai Dragons,22,12,4,20,38,18,124,-17,2884,1
Seoul Dynasty,13,12,4,18,40,22,121,-34,2884,2
Chengdu Hunters,12,10,6,12,35,23,118,-58,2884,3
Philadelphia Fusion,10,10,6,12,37,25,125,-15,2884,4
Hangzhou Spark,8,8,8,5,33,28,129,-8,2884,5
New York Excelsior,7,7,9,-3,29,32,124,-28,2884,6
Guangzhou Charge,5,5,11,-18,18,36,138,59,2884,7
Los Angeles Valiant,0,0,16,-46,2,48,145,101,2884,8
Shanghai Dragons,20,12,4,20,38,18,123,-20,2885,1
Chengdu Hunters,13,11,5,17,38,21,118,-60,2885,2
Seoul Dynasty,12,11,5,15,38,23,121,-38,2885,3
Philadelphia Fusion,11,11,5,15,38,23,124,-16,2885,4
Hangzhou Spark,8,8,8,5,33,28,127,-18,2885,5
New York Excelsior,7,7,9,-3,29,32,126,-20,2885,6
Guangzhou Charge,3,3,13,-28,14,42,141,76,2885,7
Los Angeles Valiant,1,1,15,-41,5,46,144,96,2885,8
Shanghai Dragons,22,12,4,21,38,17,123,-23,2886,1
Seoul Dynasty,13,12,4,18,39,21,121,-35,2886,2
Chengdu Hunters,13,11,5,16,38,22,116,-65,2886,3
Philadelphia Fusion,10,10,6,13,36,23,126,-13,2886,4
Hangzhou Spark,7,7,9,1,32,31,131,-1,2886,5
New York Excelsior,7,7,9,-3,29,32,124,-27,2886,6
Guangzhou Charge,5,5,11,-20,18,38,137,59,2886,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2886,8
Shanghai Dragons,20,12,4,19,38,19,124,-17,2887,1
Chengdu Hunters,14,11,5,18,38,20,115,-72,2887,2
Seoul Dynasty,12,12,4,18,40,22,120,-39,2887,3
Philadelphia Fusion,9,9,7,9,35,26,129,0,2887,4
Hangzhou Spark,8,8,8,3,32,29,128,-9,2887,5
New York Excelsior,8,8,8,0,30,30,121,-36,2887,6
Guangzhou Charge,4,4,12,-22,18,40,140,65,2887,7
Los Angeles Valiant,0,0,16,-45,3,48,147,108,2887,8
Shanghai Dragons,20,12,4,20,38,18,123,-23,2888,1
Chengdu Hunters,14,11,5,19,38,19,116,-72,2888,2
Seoul Dynasty,12,12,4,18,40,22,121,-35,2888,3
Philadelphia Fusion,10,10,6,12,37,25,126,-8,2888,4
Hangzhou Spark,7,7,9,-1,30,31,131,3,2888,5
New York Excelsior,7,7,9,-3,29,32,124,-28,2888,6
Guangzhou Charge,5,5,11,-19,18,37,137,55,2888,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,2888,8
Shanghai Dragons,22,12,4,22,38,16,123,-25,2889,1
Chengdu Hunters,13,11,5,17,38,21,117,-66,2889,2
Philadelphia Fusion,11,11,5,14,38,24,124,-13,2889,3
Seoul Dynasty,11,11,5,14,37,23,122,-30,2889,4
Hangzhou Spark,8,8,8,5,33,28,128,-12,2889,5
New York Excelsior,7,7,9,-2,30,32,125,-28,2889,6
Guangzhou Charge,4,4,12,-24,15,39,139,67,2889,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,2889,8
Shanghai Dragons,19,11,5,16,36,20,126,-11,2890,1
Chengdu Hunters,15,11,5,16,38,22,116,-62,2890,2
Seoul Dynasty,14,13,3,21,41,20,118,-47,2890,3
Philadelphia Fusion,10,10,6,13,37,24,126,-12,2890,4
Hangzhou Spark,7,7,9,0,31,31,130,-5,2890,5
New York Excelsior,7,7,9,-2,30,32,124,-26,2890,6
Guangzhou Charge,5,5,11,-21,19,40,138,63,2890,7
Los Angeles Valiant,0,0,16,-43,5,48,146,100,2890,8
Shanghai Dragons,22,12,4,21,38,17,123,-23,2891,1
Chengdu Hunters,13,11,5,16,38,22,117,-62,2891,2
Philadelphia Fusion,11,11,5,15,38,23,124,-16,2891,3
Seoul Dynasty,11,11,5,15,38,23,122,-33,2891,4
Hangzhou Spark,8,8,8,4,32,28,128,-11,2891,5
New York Excelsior,7,7,9,-2,30,32,125,-26,2891,6
Guangzhou Charge,4,4,12,-24,15,39,139,67,2891,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,2891,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,2892,1
Seoul Dynasty,13,12,4,17,39,22,120,-36,2892,2
Chengdu Hunters,13,11,5,17,38,21,115,-70,2892,3
Philadelphia Fusion,9,9,7,9,35,26,129,-1,2892,4
Hangzhou Spark,8,8,8,4,34,30,128,-10,2892,5
New York Excelsior,8,8,8,0,30,30,121,-36,2892,6
Guangzhou Charge,4,4,12,-23,17,40,140,67,2892,7
Los Angeles Valiant,0,0,16,-45,3,48,147,107,2892,8
Shanghai Dragons,20,12,4,21,38,17,124,-22,2893,1
Chengdu Hunters,14,11,5,18,38,20,116,-70,2893,2
Seoul Dynasty,12,12,4,17,39,22,120,-36,2893,3
Philadelphia Fusion,10,10,6,12,37,25,126,-8,2893,4
Hangzhou Spark,8,8,8,3,32,29,128,-8,2893,5
New York Excelsior,7,7,9,-2,30,32,124,-30,2893,6
Guangzhou Charge,4,4,12,-23,16,39,140,66,2893,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,2893,8
Shanghai Dragons,23,12,4,22,38,16,123,-27,2894,1
Chengdu Hunters,13,11,5,16,38,22,117,-62,2894,2
Philadelphia Fusion,11,11,5,15,38,23,124,-16,2894,3
Seoul Dynasty,11,11,5,13,36,23,122,-27,2894,4
Hangzhou Spark,8,8,8,4,32,28,128,-9,2894,5
New York Excelsior,7,7,9,-2,30,32,125,-26,2894,6
Guangzhou Charge,4,4,12,-23,17,40,139,63,2894,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,2894,8
Shanghai Dragons,20,12,4,19,38,19,125,-12,2895,1
Seoul Dynasty,14,12,4,18,39,21,120,-37,2895,2
Chengdu Hunters,12,10,6,13,35,22,118,-61,2895,3
Philadelphia Fusion,10,10,6,11,36,25,125,-12,2895,4
Hangzhou Spark,9,9,7,8,35,27,126,-17,2895,5
New York Excelsior,7,7,9,-3,29,32,124,-29,2895,6
Guangzhou Charge,4,4,12,-20,19,39,141,66,2895,7
Los Angeles Valiant,0,0,16,-46,2,48,145,102,2895,8
Shanghai Dragons,23,12,4,22,38,16,124,-25,2896,1
Seoul Dynasty,13,12,4,16,38,22,120,-32,2896,2
Chengdu Hunters,13,11,5,18,38,20,116,-69,2896,3
Philadelphia Fusion,10,10,6,13,37,24,126,-12,2896,4
Hangzhou Spark,8,8,8,3,32,29,128,-6,2896,5
New York Excelsior,7,7,9,-4,28,32,124,-25,2896,6
Guangzhou Charge,4,4,12,-22,17,39,140,63,2896,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2896,8
Shanghai Dragons,21,12,4,22,38,16,123,-25,2897,1
Chengdu Hunters,13,11,5,16,38,22,116,-66,2897,2
Seoul Dynasty,12,12,4,18,38,20,121,-32,2897,3
Philadelphia Fusion,10,10,6,12,35,23,126,-13,2897,4
Hangzhou Spark,7,7,9,1,32,31,131,2,2897,5
New York Excelsior,7,7,9,-5,27,32,124,-24,2897,6
Guangzhou Charge,5,5,11,-18,19,37,137,55,2897,7
Los Angeles Valiant,0,0,16,-46,2,48,146,103,2897,8
Shanghai Dragons,21,12,4,21,38,17,124,-21,2898,1
Chengdu Hunters,13,11,5,16,38,22,116,-64,2898,2
Seoul Dynasty,12,12,4,17,39,22,120,-36,2898,3
Philadelphia Fusion,10,10,6,13,37,24,126,-13,2898,4
Hangzhou Spark,8,8,8,4,34,30,128,-10,2898,5
New York Excelsior,7,7,9,-3,29,32,124,-26,2898,6
Guangzhou Charge,4,4,12,-23,17,40,140,67,2898,7
Los Angeles Valiant,0,0,16,-45,3,48,146,103,2898,8
Shanghai Dragons,21,12,4,21,38,17,123,-23,2899,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,2899,2
Seoul Dynasty,12,12,4,19,39,20,121,-36,2899,3
Philadelphia Fusion,10,10,6,12,35,23,126,-11,2899,4
Hangzhou Spark,7,7,9,0,31,31,131,2,2899,5
New York Excelsior,7,7,9,-4,28,32,124,-26,2899,6
Guangzhou Charge,5,5,11,-19,19,38,137,57,2899,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2899,8
Shanghai Dragons,20,12,4,20,38,18,123,-21,2900,1
Chengdu Hunters,15,11,5,15,38,23,117,-60,2900,2
Seoul Dynasty,12,11,5,15,38,23,122,-32,2900,3
Philadelphia Fusion,11,11,5,15,38,23,124,-17,2900,4
Hangzhou Spark,8,8,8,4,33,29,128,-10,2900,5
New York Excelsior,7,7,9,-2,30,32,125,-26,2900,6
Guangzhou Charge,4,4,12,-22,18,40,139,63,2900,7
Los Angeles Valiant,0,0,16,-45,3,48,146,103,2900,8
Shanghai Dragons,20,12,4,19,38,19,123,-16,2901,1
Chengdu Hunters,13,11,5,17,38,21,116,-70,2901,2
Seoul Dynasty,12,11,5,16,39,23,122,-36,2901,3
Philadelphia Fusion,12,10,6,10,35,25,127,-2,2901,4
Hangzhou Spark,8,8,8,6,34,28,128,-16,2901,5
New York Excelsior,8,8,8,1,30,29,122,-38,2901,6
Guangzhou Charge,4,4,12,-23,16,39,139,68,2901,7
Los Angeles Valiant,0,0,16,-46,2,48,147,110,2901,8
Shanghai Dragons,23,12,4,19,38,19,123,-20,2902,1
Chengdu Hunters,13,11,5,17,38,21,117,-61,2902,2
Philadelphia Fusion,11,11,5,18,38,20,124,-24,2902,3
Seoul Dynasty,11,11,5,14,37,23,122,-31,2902,4
Hangzhou Spark,8,8,8,4,33,29,128,-11,2902,5
New York Excelsior,7,7,9,-5,27,32,125,-17,2902,6
Guangzhou Charge,4,4,12,-22,18,40,139,62,2902,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,2902,8
Shanghai Dragons,20,12,4,19,38,19,124,-15,2903,1
Chengdu Hunters,15,11,5,17,38,21,116,-68,2903,2
Seoul Dynasty,13,12,4,19,40,21,120,-41,2903,3
Philadelphia Fusion,10,10,6,12,36,24,126,-10,2903,4
Hangzhou Spark,8,8,8,4,33,29,128,-11,2903,5
New York Excelsior,7,7,9,-3,29,32,124,-28,2903,6
Guangzhou Charge,4,4,12,-22,17,39,140,67,2903,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2903,8
Shanghai Dragons,20,12,4,22,38,16,124,-24,2904,1
Chengdu Hunters,13,10,6,12,36,24,117,-61,2904,2
Seoul Dynasty,12,12,4,16,38,22,120,-32,2904,3
Philadelphia Fusion,9,9,7,9,35,26,129,-1,2904,4
New York Excelsior,9,9,7,5,33,28,119,-47,2904,5
Hangzhou Spark,8,8,8,4,33,29,128,-8,2904,6
Guangzhou Charge,4,4,12,-22,17,39,140,64,2904,7
Los Angeles Valiant,0,0,16,-46,2,48,147,109,2904,8
Shanghai Dragons,19,11,5,18,37,19,126,-14,2905,1
Seoul Dynasty,14,12,4,16,38,22,119,-39,2905,2
Chengdu Hunters,13,11,5,17,38,21,116,-66,2905,3
Philadelphia Fusion,10,10,6,13,36,23,127,-9,2905,4
Hangzhou Spark,8,8,8,6,34,28,127,-19,2905,5
New York Excelsior,8,8,8,0,30,30,122,-32,2905,6
Guangzhou Charge,4,4,12,-25,15,40,140,72,2905,7
Los Angeles Valiant,0,0,16,-45,3,48,147,107,2905,8
Shanghai Dragons,22,12,4,21,38,17,124,-20,2906,1
Seoul Dynasty,13,12,4,17,39,22,120,-37,2906,2
Chengdu Hunters,13,11,5,18,38,20,116,-69,2906,3
Philadelphia Fusion,10,10,6,13,37,24,126,-12,2906,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,2906,5
New York Excelsior,7,7,9,-4,28,32,124,-25,2906,6
Guangzhou Charge,4,4,12,-24,15,39,140,70,2906,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2906,8
Shanghai Dragons,20,12,4,22,38,16,125,-17,2907,1
Seoul Dynasty,14,12,4,18,38,20,120,-38,2907,2
Chengdu Hunters,12,10,6,12,36,24,117,-63,2907,3
Hangzhou Spark,9,9,7,9,35,26,126,-20,2907,4
Philadelphia Fusion,9,9,7,7,33,26,128,0,2907,5
New York Excelsior,8,8,8,2,32,30,121,-43,2907,6
Guangzhou Charge,4,4,12,-24,15,39,141,75,2907,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2907,8
Shanghai Dragons,19,11,5,17,37,20,125,-17,2908,1
Chengdu Hunters,14,11,5,17,38,21,117,-63,2908,2
Seoul Dynasty,12,12,4,17,39,22,120,-36,2908,3
Philadelphia Fusion,11,11,5,16,38,22,124,-18,2908,4
Hangzhou Spark,7,7,9,0,31,31,130,-2,2908,5
New York Excelsior,7,7,9,-3,29,32,125,-23,2908,6
Guangzhou Charge,5,5,11,-19,20,39,137,55,2908,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,2908,8
Shanghai Dragons,20,12,4,21,38,17,124,-19,2909,1
Chengdu Hunters,13,10,6,12,37,25,117,-58,2909,2
Seoul Dynasty,12,12,4,17,39,22,120,-38,2909,3
Philadelphia Fusion,9,9,7,10,36,26,129,-5,2909,4
New York Excelsior,9,9,7,3,33,30,119,-40,2909,5
Hangzhou Spark,8,8,8,6,34,28,128,-16,2909,6
Guangzhou Charge,4,4,12,-25,16,41,140,73,2909,7
Los Angeles Valiant,0,0,16,-44,4,48,147,103,2909,8
Shanghai Dragons,22,12,4,21,38,17,123,-24,2910,1
Chengdu Hunters,13,11,5,17,38,21,117,-62,2910,2
Seoul Dynasty,12,11,5,14,37,23,122,-30,2910,3
Philadelphia Fusion,11,11,5,17,38,21,124,-22,2910,4
Hangzhou Spark,8,8,8,4,33,29,128,-10,2910,5
New York Excelsior,7,7,9,-5,27,32,125,-18,2910,6
Guangzhou Charge,4,4,12,-23,17,40,139,64,2910,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,2910,8
Shanghai Dragons,20,12,4,22,38,16,124,-23,2911,1
Chengdu Hunters,13,10,6,11,35,24,118,-55,2911,2
Seoul Dynasty,12,12,4,16,38,22,120,-33,2911,3
Philadelphia Fusion,10,10,6,13,37,24,126,-13,2911,4
Hangzhou Spark,8,8,8,5,34,29,128,-11,2911,5
New York Excelsior,8,8,8,2,31,29,122,-37,2911,6
Guangzhou Charge,4,4,12,-23,16,39,140,67,2911,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2911,8
Shanghai Dragons,23,12,4,22,38,16,123,-28,2912,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,2912,2
Seoul Dynasty,11,11,5,13,36,23,122,-27,2912,3
Philadelphia Fusion,10,10,6,12,36,24,127,-5,2912,4
Hangzhou Spark,8,8,8,3,32,29,128,-7,2912,5
New York Excelsior,8,8,8,2,32,30,122,-38,2912,6
Guangzhou Charge,4,4,12,-23,16,39,139,62,2912,7
Los Angeles Valiant,0,0,16,-46,2,48,147,111,2912,8
Shanghai Dragons,20,12,4,20,38,18,122,-23,2913,1
Chengdu Hunters,14,11,5,17,38,21,117,-64,2913,2
Seoul Dynasty,11,11,5,16,39,23,123,-33,2913,3
Philadelphia Fusion,11,11,5,15,38,23,124,-16,2913,4
Hangzhou Spark,7,7,9,1,32,31,131,-3,2913,5
New York Excelsior,7,7,9,-3,29,32,125,-24,2913,6
Guangzhou Charge,5,5,11,-21,18,39,136,59,2913,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,2913,8
Shanghai Dragons,19,11,5,16,35,19,127,-6,2914,1
Chengdu Hunters,14,11,5,19,38,19,116,-69,2914,2
Seoul Dynasty,13,13,3,22,41,19,117,-54,2914,3
Philadelphia Fusion,10,10,6,13,37,24,126,-11,2914,4
Hangzhou Spark,8,8,8,4,32,28,127,-18,2914,5
New York Excelsior,7,7,9,-4,28,32,124,-23,2914,6
Guangzhou Charge,4,4,12,-26,15,41,141,78,2914,7
Los Angeles Valiant,0,0,16,-44,4,48,146,103,2914,8
Shanghai Dragons,21,12,4,21,38,17,123,-25,2915,1
Chengdu Hunters,13,11,5,17,38,21,117,-63,2915,2
Philadelphia Fusion,11,11,5,16,38,22,124,-18,2915,3
Seoul Dynasty,11,11,5,14,37,23,122,-30,2915,4
Hangzhou Spark,8,8,8,3,33,30,128,-8,2915,5
New York Excelsior,7,7,9,-3,29,32,125,-23,2915,6
Guangzhou Charge,4,4,12,-23,17,40,139,63,2915,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,2915,8
Shanghai Dragons,20,12,4,22,38,16,124,-24,2916,1
Chengdu Hunters,14,10,6,12,35,23,118,-56,2916,2
Seoul Dynasty,12,12,4,16,38,22,120,-34,2916,3
Philadelphia Fusion,10,10,6,13,37,24,126,-12,2916,4
Hangzhou Spark,8,8,8,4,32,28,128,-10,2916,5
New York Excelsior,8,8,8,2,31,29,122,-36,2916,6
Guangzhou Charge,4,4,12,-24,16,40,140,68,2916,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,2916,8
Shanghai Dragons,20,12,4,19,38,19,122,-23,2917,1
Chengdu Hunters,14,11,5,17,38,21,117,-64,2917,2
Philadelphia Fusion,11,11,5,16,38,22,124,-17,2917,3
Seoul Dynasty,11,11,5,15,38,23,123,-30,2917,4
Hangzhou Spark,7,7,9,0,31,31,131,0,2917,5
New York Excelsior,7,7,9,-2,30,32,125,-26,2917,6
Guangzhou Charge,5,5,11,-19,19,38,136,53,2917,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,2917,8
Shanghai Dragons,19,11,5,16,35,19,127,-4,2918,1
Chengdu Hunters,15,11,5,16,38,22,116,-65,2918,2
Seoul Dynasty,14,13,3,22,41,19,117,-53,2918,3
Philadelphia Fusion,10,10,6,12,37,25,126,-10,2918,4
Hangzhou Spark,8,8,8,6,34,28,127,-21,2918,5
New York Excelsior,7,7,9,-2,30,32,124,-29,2918,6
Guangzhou Charge,4,4,12,-25,15,40,141,78,2918,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,2918,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,2919,1
Seoul Dynasty,12,12,4,17,39,22,121,-33,2919,2
Chengdu Hunters,12,9,7,10,35,25,120,-52,2919,3
Philadelphia Fusion,10,10,6,14,37,23,125,-18,2919,4
Hangzhou Spark,8,8,8,4,34,30,129,-7,2919,5
New York Excelsior,8,8,8,0,30,30,122,-32,2919,6
Guangzhou Charge,5,5,11,-20,18,38,138,61,2919,7
